оЗа©(г╖©к),оЗйш╣╔╪ш(т╙/г╖©к),хуфз,еЗ╥╒╪ш╦Я(т╙/г╖©к),╣╔ф╥цШЁф,кП╨дбй(%)
0.291,5.2,2023-06-24,2.4,дл╟в╡к,15.68
0.31,5.2,2023-06-24,2.4,дл╟в╡к,15.68
0.581,5.2,2023-06-24,2.4,дл╟в╡к,15.68
0.678,5.2,2023-06-24,2.4,дл╟в╡к,15.68
0.368,5.2,2023-06-24,2.4,дл╟в╡к,15.68
0.426,5.2,2023-06-24,2.4,дл╟в╡к,15.68
0.291,5.2,2023-06-24,2.4,дл╟в╡к,15.68
0.562,5.2,2023-06-24,2.4,дл╟в╡к,15.68
0.581,5.2,2023-06-24,2.4,дл╟в╡к,15.68
0.349,5.2,2023-06-24,2.4,дл╟в╡к,15.68
0.64,5.2,2023-06-24,2.4,дл╟в╡к,15.68
0.252,5.2,2023-06-24,2.4,дл╟в╡к,15.68
0.349,5.2,2023-06-24,2.4,дл╟в╡к,15.68
0.291,5.2,2023-06-24,2.4,дл╟в╡к,15.68
0.349,5.2,2023-06-24,2.4,дл╟в╡к,15.68
0.291,5.2,2023-06-24,2.4,дл╟в╡к,15.68
0.756,5.2,2023-06-26,2.47,дл╟в╡к,15.68
1.55,5.2,2023-06-26,2.47,дл╟в╡к,15.68
0.407,5.2,2023-06-26,2.47,дл╟в╡к,15.68
0.814,5.2,2023-06-26,2.47,дл╟в╡к,15.68
0.368,5.2,2023-06-26,2.47,дл╟в╡к,15.68
0.717,5.2,2023-06-26,2.47,дл╟в╡к,15.68
0.426,5.2,2023-06-26,2.47,дл╟в╡к,15.68
0.349,5.2,2023-06-26,2.47,дл╟в╡к,15.68
0.426,5.2,2023-06-26,2.47,дл╟в╡к,15.68
0.33,5.2,2023-06-26,2.47,дл╟в╡к,15.68
0.388,5.2,2023-06-26,2.47,дл╟в╡к,15.68
0.407,5.2,2023-06-26,2.47,дл╟в╡к,15.68
0.368,5.2,2023-06-26,2.47,дл╟в╡к,15.68
0.33,5.2,2023-06-26,2.47,дл╟в╡к,15.68
0.31,5.2,2023-06-27,2.42,дл╟в╡к,15.68
0.252,5.2,2023-06-27,2.42,дл╟в╡к,15.68
0.446,5.2,2023-06-27,2.42,дл╟в╡к,15.68
0.504,5.2,2023-06-27,2.42,дл╟в╡к,15.68
0.291,5.2,2023-06-27,2.42,дл╟в╡к,15.68
0.485,5.2,2023-06-27,2.42,дл╟в╡к,15.68
0.736,5.2,2023-06-27,2.42,дл╟в╡к,15.68
0.213,5.2,2023-06-27,2.42,дл╟в╡к,15.68
0.485,5.2,2023-06-27,2.42,дл╟в╡к,15.68
0.271,5.2,2023-06-27,2.42,дл╟в╡к,15.68
0.271,5.2,2023-06-27,2.42,дл╟в╡к,15.68
0.271,5.2,2023-06-27,2.42,дл╟в╡к,15.68
0.213,5.2,2023-06-27,2.42,дл╟в╡к,15.68
0.213,5.2,2023-06-27,2.42,дл╟в╡к,15.68
0.523,5.2,2023-06-27,2.42,дл╟в╡к,15.68
0.233,5.2,2023-06-27,2.42,дл╟в╡к,15.68
0.33,5.2,2023-06-27,2.42,дл╟в╡к,15.68
0.795,5.2,2023-06-27,2.42,дл╟в╡к,15.68
0.213,5.2,2023-06-28,2.73,дл╟в╡к,15.68
0.407,5.2,2023-06-28,2.73,дл╟в╡к,15.68
0.465,5.2,2023-06-28,2.73,дл╟в╡к,15.68
0.795,5.2,2023-06-28,2.73,дл╟в╡к,15.68
0.465,5.2,2023-06-28,2.73,дл╟в╡к,15.68
0.446,5.2,2023-06-28,2.73,дл╟в╡к,15.68
0.407,5.2,2023-06-28,2.73,дл╟в╡к,15.68
0.465,5.2,2023-06-28,2.73,дл╟в╡к,15.68
0.407,5.2,2023-06-28,2.73,дл╟в╡к,15.68
0.64,5.2,2023-06-28,2.73,дл╟в╡к,15.68
0.485,5.2,2023-06-28,2.73,дл╟в╡к,15.68
0.465,5.2,2023-06-28,2.73,дл╟в╡к,15.68
0.426,5.2,2023-06-28,2.73,дл╟в╡к,15.68
0.678,5.2,2023-06-28,2.73,дл╟в╡к,15.68
0.407,5.2,2023-06-28,2.73,дл╟в╡к,15.68
0.465,5.2,2023-06-28,2.73,дл╟в╡к,15.68
0.426,5.2,2023-06-28,2.73,дл╟в╡к,15.68
0.426,5.2,2023-06-28,2.73,дл╟в╡к,15.68
0.303,4.0,2023-06-29,2.59,дл╟в╡к,15.68
0.707,4.0,2023-06-29,2.59,дл╟в╡к,15.68
0.581,4.0,2023-06-29,2.59,дл╟в╡к,15.68
0.354,4.0,2023-06-29,2.59,дл╟в╡к,15.68
0.606,4.0,2023-06-29,2.59,дл╟в╡к,15.68
0.758,4.0,2023-06-29,2.59,дл╟в╡к,15.68
0.354,4.0,2023-06-29,2.59,дл╟в╡к,15.68
0.278,4.0,2023-06-29,2.59,дл╟в╡к,15.68
0.379,4.0,2023-06-29,2.59,дл╟в╡к,15.68
0.732,4.0,2023-06-29,2.59,дл╟в╡к,15.68
0.303,4.0,2023-06-29,2.59,дл╟в╡к,15.68
0.328,4.0,2023-06-29,2.59,дл╟в╡к,15.68
0.303,4.0,2023-06-29,2.59,дл╟в╡к,15.68
0.354,4.0,2023-06-29,2.59,дл╟в╡к,15.68
0.354,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.379,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.303,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.732,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.707,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.682,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.657,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.657,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.581,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.303,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.303,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.354,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.429,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.278,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.404,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.657,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.354,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.253,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.354,4.0,2023-06-30,2.56,дл╟в╡к,15.68
0.303,4.0,2023-06-30,2.56,дл╟в╡к,15.68
