œ˙¡ø(«ßøÀ),œ˙ €µ•º€(‘™/«ßøÀ),»’∆⁄,≈˙∑¢º€∏Ò(‘™/«ßøÀ),µ•∆∑√˚≥∆,À∫ƒ¬ (%)
0.505,4.0,2023-06-24,2.31,‹»≤À,18.52
0.505,4.0,2023-06-24,2.31,‹»≤À,18.52
1.061,4.0,2023-06-24,2.31,‹»≤À,18.52
0.505,4.0,2023-06-24,2.31,‹»≤À,18.52
0.606,4.0,2023-06-24,2.31,‹»≤À,18.52
0.53,4.0,2023-06-24,2.31,‹»≤À,18.52
0.606,4.0,2023-06-24,2.31,‹»≤À,18.52
0.556,4.0,2023-06-24,2.31,‹»≤À,18.52
0.985,4.0,2023-06-24,2.31,‹»≤À,18.52
0.455,4.0,2023-06-24,2.31,‹»≤À,18.52
0.455,4.0,2023-06-24,2.31,‹»≤À,18.52
0.581,4.0,2023-06-24,2.31,‹»≤À,18.52
0.556,4.0,2023-06-24,2.31,‹»≤À,18.52
0.631,4.0,2023-06-24,2.31,‹»≤À,18.52
0.455,4.0,2023-06-24,2.31,‹»≤À,18.52
0.505,4.0,2023-06-24,2.31,‹»≤À,18.52
0.429,4.0,2023-06-24,2.31,‹»≤À,18.52
0.404,4.0,2023-06-24,2.31,‹»≤À,18.52
0.48,4.0,2023-06-24,2.31,‹»≤À,18.52
0.53,4.0,2023-06-24,2.31,‹»≤À,18.52
0.631,4.0,2023-06-24,2.31,‹»≤À,18.52
0.455,4.0,2023-06-24,2.31,‹»≤À,18.52
0.455,4.0,2023-06-24,2.31,‹»≤À,18.52
0.429,4.0,2023-06-24,2.31,‹»≤À,18.52
0.303,4.0,2023-06-24,2.31,‹»≤À,18.52
0.505,4.0,2023-06-24,2.31,‹»≤À,18.52
0.278,4.0,2023-06-24,2.31,‹»≤À,18.52
0.606,4.0,2023-06-25,2.34,‹»≤À,18.52
0.48,4.0,2023-06-25,2.34,‹»≤À,18.52
0.53,4.0,2023-06-25,2.34,‹»≤À,18.52
0.606,4.0,2023-06-25,2.34,‹»≤À,18.52
0.429,4.0,2023-06-25,2.34,‹»≤À,18.52
0.505,4.0,2023-06-25,2.34,‹»≤À,18.52
0.455,4.0,2023-06-25,2.34,‹»≤À,18.52
0.404,4.0,2023-06-25,2.34,‹»≤À,18.52
0.404,4.0,2023-06-25,2.34,‹»≤À,18.52
0.48,4.0,2023-06-25,2.34,‹»≤À,18.52
0.556,4.0,2023-06-25,2.34,‹»≤À,18.52
0.455,4.0,2023-06-25,2.34,‹»≤À,18.52
0.631,4.0,2023-06-25,2.34,‹»≤À,18.52
0.606,4.0,2023-06-25,2.34,‹»≤À,18.52
0.48,4.0,2023-06-25,2.34,‹»≤À,18.52
0.606,4.0,2023-06-25,2.34,‹»≤À,18.52
0.505,4.0,2023-06-25,2.34,‹»≤À,18.52
0.606,4.0,2023-06-25,2.34,‹»≤À,18.52
0.48,4.0,2023-06-25,2.34,‹»≤À,18.52
0.505,4.0,2023-06-26,2.33,‹»≤À,18.52
0.429,4.0,2023-06-26,2.33,‹»≤À,18.52
0.455,4.0,2023-06-26,2.33,‹»≤À,18.52
0.53,4.0,2023-06-26,2.33,‹»≤À,18.52
0.379,4.0,2023-06-26,2.33,‹»≤À,18.52
0.455,4.0,2023-06-26,2.33,‹»≤À,18.52
0.429,4.0,2023-06-26,2.33,‹»≤À,18.52
0.505,4.0,2023-06-26,2.33,‹»≤À,18.52
0.379,4.0,2023-06-26,2.33,‹»≤À,18.52
0.53,4.0,2023-06-26,2.33,‹»≤À,18.52
0.429,4.0,2023-06-26,2.33,‹»≤À,18.52
0.404,4.0,2023-06-26,2.33,‹»≤À,18.52
0.404,4.0,2023-06-26,2.33,‹»≤À,18.52
0.404,4.0,2023-06-26,2.33,‹»≤À,18.52
0.379,4.0,2023-06-26,2.33,‹»≤À,18.52
0.53,4.0,2023-06-26,2.33,‹»≤À,18.52
0.631,4.0,2023-06-26,2.33,‹»≤À,18.52
0.556,4.0,2023-06-27,2.34,‹»≤À,18.52
0.833,4.0,2023-06-27,2.34,‹»≤À,18.52
0.631,4.0,2023-06-27,2.34,‹»≤À,18.52
0.606,4.0,2023-06-27,2.34,‹»≤À,18.52
0.631,4.0,2023-06-27,2.34,‹»≤À,18.52
0.606,4.0,2023-06-27,2.34,‹»≤À,18.52
0.581,4.0,2023-06-27,2.34,‹»≤À,18.52
0.53,4.0,2023-06-27,2.34,‹»≤À,18.52
0.682,4.0,2023-06-27,2.34,‹»≤À,18.52
0.707,4.0,2023-06-27,2.34,‹»≤À,18.52
0.631,4.0,2023-06-27,2.34,‹»≤À,18.52
0.657,4.0,2023-06-27,2.34,‹»≤À,18.52
0.606,4.0,2023-06-27,2.34,‹»≤À,18.52
0.556,4.0,2023-06-27,2.34,‹»≤À,18.52
0.505,4.0,2023-06-27,2.34,‹»≤À,18.52
0.581,4.0,2023-06-27,2.34,‹»≤À,18.52
0.581,4.0,2023-06-27,2.34,‹»≤À,18.52
0.581,4.0,2023-06-27,2.34,‹»≤À,18.52
0.625,3.4,2023-06-28,2.37,‹»≤À,18.52
0.506,3.4,2023-06-28,2.37,‹»≤À,18.52
0.506,3.4,2023-06-28,2.37,‹»≤À,18.52
0.327,3.4,2023-06-28,2.37,‹»≤À,18.52
0.536,3.4,2023-06-28,2.37,‹»≤À,18.52
0.417,3.4,2023-06-28,2.37,‹»≤À,18.52
0.446,3.4,2023-06-28,2.37,‹»≤À,18.52
0.446,3.4,2023-06-28,2.37,‹»≤À,18.52
0.357,3.4,2023-06-29,2.37,‹»≤À,18.52
0.446,3.4,2023-06-29,2.37,‹»≤À,18.52
0.357,3.4,2023-06-29,2.37,‹»≤À,18.52
0.446,3.4,2023-06-29,2.37,‹»≤À,18.52
0.357,3.4,2023-06-29,2.37,‹»≤À,18.52
0.417,3.4,2023-06-29,2.37,‹»≤À,18.52
0.417,3.4,2023-06-29,2.37,‹»≤À,18.52
0.298,3.4,2023-06-29,2.37,‹»≤À,18.52
0.536,3.4,2023-06-29,2.37,‹»≤À,18.52
0.327,3.4,2023-06-29,2.37,‹»≤À,18.52
0.744,3.4,2023-06-29,2.37,‹»≤À,18.52
0.506,3.4,2023-06-29,2.37,‹»≤À,18.52
0.595,3.4,2023-06-29,2.37,‹»≤À,18.52
0.714,3.4,2023-06-29,2.37,‹»≤À,18.52
0.476,3.4,2023-06-29,2.37,‹»≤À,18.52
0.714,3.4,2023-06-29,2.37,‹»≤À,18.52
0.506,3.4,2023-06-29,2.37,‹»≤À,18.52
0.357,3.4,2023-06-29,2.37,‹»≤À,18.52
0.298,3.4,2023-06-29,2.37,‹»≤À,18.52
0.536,3.4,2023-06-30,2.21,‹»≤À,18.52
0.506,3.4,2023-06-30,2.21,‹»≤À,18.52
0.446,3.4,2023-06-30,2.21,‹»≤À,18.52
0.506,3.4,2023-06-30,2.21,‹»≤À,18.52
0.714,3.4,2023-06-30,2.21,‹»≤À,18.52
0.417,3.4,2023-06-30,2.21,‹»≤À,18.52
0.357,3.4,2023-06-30,2.21,‹»≤À,18.52
0.744,3.4,2023-06-30,2.21,‹»≤À,18.52
0.655,3.4,2023-06-30,2.21,‹»≤À,18.52
0.625,3.4,2023-06-30,2.21,‹»≤À,18.52
0.714,3.4,2023-06-30,2.21,‹»≤À,18.52
0.506,3.4,2023-06-30,2.21,‹»≤À,18.52
